	A1004	Arecibo 	Arecibo Observatory
	27991	U Andes	University of the Andes, Colombia
	27993	U Medellin	University of Medellin, Colombia
	27994	U Narino	University of Narino, Colombia
	28001	U Atl	University of the Atlantic, Colombia
	28002	U Del Cauca	Universidad del Cauca, Colombia
	28006	U Valley	University of the Valley, Colombia
	28007	U Distrital Francesco Jose Caldas	University Distrital Francesco Jose de Caldas, Colombia
	28014	TU Santander	Technical University of Santander, Colombia
	28021	Natl U Colombia	National University of Colombia
	28023	Ped Tech U Colombia	Pedagogical and Technological University of Colombia
	28025	Pont Bolivarian U	Pontifical Bolivarian University, Colombia
	28031	TU Pereira	Technical University of Pereira, Colombia
	28033	Pont Catholic U Chile	Pontifical Catholic University of Chile
28033	A1710	Pont Catholic U Chile Dep Ast Astrop	Pontifical Catholic University of Chile, Department of Astronomy and Astrophysics
	28034	U Adolfo Ibanez	University Adolfo Ibanez, Chile
	28035	U Arturo Prat	University Arturo Prat, Chile
	28040	U Austral Chile	Austral University of Chile
	28045	Catholic U Most Holy Conception	Catholic University of the Most Holy Conception, Chile
	28047	Pont Catholic U Valparaiso	Pontifical Catholic University of Valparaiso
	28049	Catholic U North	Univ Catolica del Norte, Childe
	28052	U Antofagasta	University of Antofagasta, Chile
	28054	U Atacama	University of Atacama, Chile
	28056	U Concepcion	University of Concepcion, Chile
28056	A1714	U Concepcion Dep Ast	University of Concepcion, Department of Astronomy
28056	A1715	U Concepcion Dep Phy	University of Concepcion, Department of Physics
	28057	U La Frontera	University of La Frontera, Chile
	28058	U La Serena	University of La Serena, Chile
	28062	U Magallanes	University of Magallanes, Chile
	28065	U Santiago Chile	University of Santiago of Chile
	28066	U Talca	University of Talca, Chile
	28067	U Tarapaca	University of Tarapaca, Chile
	28068	Valparaiso U Chile	Valparaiso University, Chile
28068	A1713	Valparaiso U Dep Phy Ast	Valparaiso University, Department of Physics and Astronomy
	28072	U del Mar	University of del Mar, Chile
	28085	Metro U Educ Sci	Metropolitan University of Educational Sciences, Chile
	28087	Andres Bello U	Andres Bello University, Chile
	28090	TU Federico Santa Maria	Technical University Federico Santa Maria, Chile
	28094	Fed U Itajuba	Federal University of Itajuba, Brazil
	28097	Fed U Paraiba	Federal University of Paraiba, Brazil
	28098	IME Brazil	IME Instituto Militar de Engenharia, Brazil
	28099	Pont Catholic U Rio Janeiro	Pontifical Catholic University of Rio de Janeiro
	28100	Pont Catholic U Parana	Pontifical Catholic University of Parana, Mexico
	28101	Pont Catolica U Campinas	Pontifical Catholic University of Campinas, Brazil
	28102	Pont Catolica U Rio Grande	Pontifical Catholic University of Rio Grande do Sul, Brazil
	28104	U Catolica Sao Paulo	Catholic University of Sao Paulo, Mexico
	28105	Sao Paulo Fed U	Sao Paulo Federal University, Brazil
	28106	Pont U Catolica Brazilia	Pontifical Catholic University of Brazilia, Mexico
	28107	U Catolica Pernambuco	Catholic University of Pernambuco, Mexico
	28108	UNESP St U Paulista Julio Mesquita Filho	UNESP, State University of Paulista Julio de Mesquita Filho, Brazil
28108	133637	UNESP Inst Phy	UNESP, Institute of Physics
	28110	Fluminense Fed U	Fluminense Federal University, Brazil
	28111	Fed U Bahia	Federal University of Bahia, Brazil
	28112	Fed U Alagoas	Federal University of Alagoas, Brazil
	28113	Fed U Juiz Fora	Federal University of Juiz de Fora, Brazil
	28114	Fed U Minas Gerais	Federal University of Minas Gerais, Brazil
	28115	Fed U Ouro Preto	Federal University of Ouro Preto, Brazil
	28116	Fed U Pernambuco	Federal University of Pernambuco, Brazil
	28117	Fed U Santa Catarina	Federal University of Santa Catarina, Brazil
	28118	Fed U Santa Maria	Federal University of Santa Maria, Brazil
	28119	Fed U Uberlandia	Federal University of Uberlandia, Brazil
	28120	Fed U Vicosa	Federal University of Vicosa, Brazil
	28121	Fed U Ceara	Federal University of Ceara, Brazil
	28122	Fed U Parana	Federal University of Parana, Brazil
	28123	Fed U Rio Grande N	Federal University of Rio Grande of the North, Brazil
28123	A1722	Fed U Rio Grande N Dep Phy	Federal University of Rio Grande of the North, Department of Physics
	28124	UFRGS	Federal University of Rio Grande of the South, Brazil
28124	133642	UFRGS Inst Phy	Federal University of Rio Grande of the South, Institute of Physics
	28125	UFRJ	Federal University of Rio de Janeiro
28125	133645	UFRJ Inst Phy	Federal University of Rio de Janeiro, Institute of Physics
28125	341420	UFRJ Valongo Obs	Federal University of Rio de Janeiro, Valongo Observatory
	28126	Fed U Espirito Santa	Federal University of Espirito Santa, Brazil
	28128	U Brazilia	University of Brazilia
	28130	UERJ	Rio de Janeiro State University
28130	A1721	Rio de Janeiro St U Inst Phy	Rio de Janeiro State University, Institute of Physics
	28132	U Campinas	University of Campinas, Brazil
28132	344101	U Campinas Inst Phy	University of Campinas, Institute of Physics
28132	A1719	U Campinas Dep Ast	University of Campinas, Department of Astronomy
	28133	USP	University of Sao Paulo, Brazil
28133	117186	USP Inst Phy	University of Sao Paulo, Institute of Physics
28133	153990	USP Inst Ocean	University of Sao Paulo, Institute of Oceanography
28133	54541	USP IAG	University of Sao Paulo, Institute for Astronomy, Geophysics, and Atmospheric Sciences
28133	67420	Poly Sch USP	Polytechnic School of University of Sao Paulo
	28147	UMSA	Universidad Mayor de San Andres, Bolivia
	28169	ITBA	Instituto Tecnologico de Buenos Aires, Argentina
	28183	Austral U	Austral University, Argentina
	28186	Pont Catholic U Argentina	Pontifical Catholic University of Argentina
	28196	U Buenos Aires	University of Buenos Aires, Argentina
28196	124146	Res Ctr Atmos Sea Sci Argentina	Research Center for Atmospheric and Sea Sciences, Argentina
28196	54485	IAFE Buenos Aires	Institute of Astronomy and Space Physics, Buenos Aires
28196	54487	Argentine Inst Rad Ast	Argentine Institute of Radio Astronomy
28196	62927	INFIP Buenos Aires	Institute for Plasma Physics, Buenos Aires
28196	A1706	U Buenos Aires Dep Geo Sci	University of Buenos Aires, Argentina, Department of Geological Sciences
28196	A1707	U Buenos Aires Dep Phy	University of Buenos Aires, Argentina, Department of Physics
	28204	U Mendoza	University of Mendoza, Argentina
	28207	U San Andres	University of San Andres, Argentina
	28217	Natl U Cordoba Argentina	National University of Cordoba, Argentina
28217	120752	El Leoncito Ast Cmplx	El Leoncito Astronomical Complex
28217	121580	Natl U Cordoba Fac Math Ast	National University of Cordoba, Faculty of Mathematics and Astronomy
28217	230222	IATE Cordoba	Theoretical and Experimental Astronomy Institute, Cordoba
28217	387837	Natl U Cordoba Ast Obs	National University of Cordoba, Astronomical Observatory
	28218	Natl U Cuyo	National University of Cuyo, Argentina
28218	42670	Balseiro Inst	Balseiro Institute, Argentina
	28221	UNSAM	National University of San Martin, Argentina
28221	A3042	ITeDA	Institute of Detection and Astroparticle Technologies, Argentina
	28222	Natl U Gen Sarmiento	National University of General Sarmiento, Argentina
	28223	Natl U Jujuy	National University of Jujuy, Argentina
	28225	Natl U La Pampa	National University of La Pampa, Argentina
	28226	Natl U Patagonia	National University of Patagonia, Argentina
	28228	UNLP	National University of La Plata, Argentina
28228	120752	El Leoncito Ast Cmplx	El Leoncito Astronomical Complex
28228	172365	INIFTA	Instituto de Investigaciones Fisicoquimicas Teoricas y Aplicadas, Argentina
28228	172471	Nat Sci Mus La Plata	Natural Science Museum, La Plata
28228	226544	Inst Phy La Plata	Institute for Physics, La Plata
28228	243751	Inst Astrop La Plata	Institute for Astrophysics, La Plata
28228	243760	UNLP Fac Ast Geop Sci	National University of La Plata, Faculty of Astronomical and Geophysical Sciences
28228	54487	Argentine Inst Rad Ast	Argentine Institute of Radio Astronomy
	28233	Natl U Mar del Plata	National University of Mar del Plata, Argentina
28233	A3036	IFIMAR	Instituto de Investigaciones Fisicas de Mar del Plata, Argentina
	28236	Natl U Rio Cuarto	National University of Rio Cuarto, Argentina
	28237	Natl U Rosario	National University of Rosario, Argentina
28237	121570	Inst Phy Rosario	Institute of Physics, Rosario
	28238	Natl U Salta	National University of Salta, Argentina
	28239	Natl U San Juan	National University of San Juan, Argentina
28239	120752	El Leoncito Ast Cmplx	El Leoncito Astronomical Complex
28239	A1708	Yale Sthrn Obs	Yale Southern Observatory
	28240	Natl U San Luis	National University of San Luis, Argentina
	28242	Natl U Third February	National University of Third of February, Argentina
	28243	Natl U Tucuman	National University of Tucuman, Argentina
	28245	UNCPBA	National University of Central Buenos Aires, Argentina
	28246	Natl U Comahue	National University of Comahue, Argentina
	28247	Natl U Littoral	National University of the Littoral, Argentina
	28248	Natl U Nordeste	National University of the Northeast, Argentina
	28249	Natl U Sthrn Argentina	National University of Southern Argentina, Bahia
	28250	Natl Tech U Argentina	National Technical University of Argentina
28294	A1333	Calar Alto Obs	Calar Alto Observatory
	28424	Fraunhofer Soc App Sci	Fraunhofer Society of Applied Sciences
28424	14950	ITEM	Fraunhofer Institute for Toxicology and Experimental Medicine, Hannover
28424	28425	SCAI	Fraunhofer Institute for Applied Polymer Research, Potsdam
28424	28426	FIT	Fraunhofer Institute for Applied Information Technology, Saint Augustin
28424	28427	IOF	Fraunhofer Institute for Applied Optics and Precision Engineering, Jena
28424	28428	IAP	Fraunhofer Institute for Applied Polymer Research, Potsdam
28424	28429	IAF	Fraunhofer Institute for Applied Solid State Physics, Freiburg
28424	28431	IBMT	Fraunhofer Institute for Biomedical Engineering, Saint Ingbert
28424	28432	IBP	Fraunhofer Institute for Building Physics, Stuttgart
28424	28434	IKTS	Fraunhofer Institute for Ceramic Technologies and Sintered Materials, Dresden
28424	28435	ICT	Fraunhofer Institute for Chemical Technology, Berghausen
28424	28440	FEP	Fraunhofer Institute for Electron and Plasma Technology, Dresden
28424	28444	CNT	Fraunhofer Center for Nanoelectronic Technologies, Dresden
28424	28445	EMI	Ernst Mach Institute, Freiburg
28424	28446	IAO	Fraunhofer Institute for Industrial Engineering, Stuttgart
28424	28448	IOSB	Fraunhofer Institute for Information and Data Processing, Karlsruhe
28424	28450	IIS	Fraunhofer Institute for Integrated Circuits, Erlangen
28424	28452	IISB	Fraunhofer Institute for Integrated Systems and Device Technology, Erlangen
28424	28453	IGB	Fraunhofer Institute for Interfacial Engineering and Biotechnology, Stuttgart
28424	28454	ILT	Fraunhofer Institute for Laser Technology, Aachen
28424	28456	IFAM	Fraunhofer Institute for Manufacturing Engineering and Applied Materials Research, Bremen
28424	28458	IWS	Fraunhofer Institute for Material and Beam Technology, Dresden
28424	28460	IWM	Fraunhofer Institute for Mechanics of Materials, Freiburg
28424	28462	IMS2	Fraunhofer Institute for Microelectronic Circuits and Systems, Duisburg
28424	28464	IZFP	Fraunhofer Institute for Non-Destructive Testing, Saarbrucken
28424	28465	FIRST	Fraunhofer Institute for Computer Architecture and Software Technology, Berlin
28424	28467	IPMS	Fraunhofer Institute for Photonic Microsystems, Dresden
28424	28468	IPM	Fraunhofer Institute for Physical Measurement Techniques, Freiburg
28424	28471	IPT	Fraunhofer Institute for Production Technology, Aachen
28424	28472	IZM	Fraunhofer Institute for Reliability and Microintegration, Berlin
28424	28474	ISC	Fraunhofer Institute for Silicate Research, Wurzburg
28424	28477	ISE	Fraunhofer Institute for Solar Energy Systems, Freiburg
28424	28482	HHI	Fraunhofer Institute for Telecommunications, Berlin
28424	28485	WKI	Fraunhofer Institute for Wood Research, Braunschweig
28424	130425	IAIS	Fraunhofer Institute for Media Communications, Saint Augustin
28424	201973	EMFT	Fraunhofer Institute for Modular Solid State Technologies, Munich
28424	233980	IFU	Fraunhofer Institute for Atmospheric and Environmental Research
28424	318370	IWES	Fraunhofer Institute for Wind Energy and Energy System Technology, Bermerhaven
	28499	EAWAG	Swiss Federal Institute of Aquatic Science and Technology
	28500	WSL	Swiss Federal Institute for Forest Snow and Landscape Research
	28501	EMPA	Swiss Federal Institute for Materials Science and Technology
	28521	Loyola U Balt	Loyola University, Baltimore
	28546	Pondicherry U	Pondicherry University, India
	28548	Andhra U	Andhra University, India
	28552	Osmania U	Osmania University, India
	28570	CSIR	CSIR, Council of Scientific and Industrial Research, India
28570	201499	CSIR CMMCS	CSIR, Center for Mathematical Modeling and Computer Simulation, Bangalore
28570	28600	CSIR NGRI	CSIR, National Geophysical Research Institute, Hyderabad
28570	28955	CSIR NIO	CSIR, National Institute of Oceanography, Goa
28570	29144	CSIR NAL	CSIR, National Aerospace Laboratories, Bangalore
28570	29616	CSIR NCL	CSIR, National Chemical Laboratory, Pune
28570	30156	CSIR IICB	CSIR, Indian Institute of Chemical Biology, Calcutta
28570	62398	CSIR NPL	CSIR, National Physical Laboratory, New Delhi
	28572	DRDO	Defence Research and Development Organisation, India
	28614	U Hyderabad	University of Hyderabad, India
	28656	Sri Krishnadevaraya U	Sri Krishnadevaraya University, India
	28661	Sri Venkateswara U	Sri Venkateswara University, India
	28675	Dibrugarh U	Dibrugarh University, India
	28676	Gauhati U	Gauhati University, India
	28678	IIT Guwahati	Indian Institute of Technology, Guwahati
	28686	Assam U	Assam University, India
	28688	Tezpur U	Tezpur University, India
	28692	Ind Sch Mines	Indian School of Mines
	28698	Birla Inst Tech	Birla Institute of Technology, Jharkhand
	28718	GGV Central U	Guru Ghasidas Vishwavidyalaya Central University, India
	28721	Pandit Ravi Shukla U	Pandit Ravishanka Shukla University, India
	28733	Barkatullah U	Barkatullah University, India
	28742	U Delhi	University of Delhi, India
28742	326269	U Delhi Dep Phy Astrop	University of Delhi, Department of Physics and Astrophysics
	28754	Jawaharlal Nehru U	Jawaharlal Nehru University, New Delhi
	28800	India Met Dep	India Meteorological Department, Delhi
	28817	IIT Delhi	Indian Institute of Technology, Delhi
	28827	Indira Gandhi Open U	Indira Gandhi Open University, India
	28849	Jamia Millia Islamia	Jamia Millia Islamia Central University
	28961	Goa U	Goa University, India
	28971	Gujarat U	Gujarat University, India
	28997	St Xaviers Coll Ahmedabad	Saint Xaviers College, Ahmedabad
	29011	MS U Baroda	Maharaja Sayajirao University of Baroda, India
	29027	Saurashtra U	Saurashtra University, India
	29037	Sardar Patel U	Sardar Patel University, India
	29056	Kurukshetra U	Kurukshetra University, India
	29057	NIT Kurukshetra	National Institute of Technology, Kurukshetra, India
	29066	Himachal Pradesh U	Himachal Pradesh University, India
	29070	Ind Inst Adv Study	Indian Institute of Advanced Study
	29074	U Jammu	University of Jammu, India
	29079	U Kashmir	University of Kashmir, India
	29082	Mangalore U	Mangalore University, India
	29090	Geo Surv India	Geological Survey of India
	29100	Bangalore U	Bangalore University
	29120	IISc	Indian Institute of Science, Bangalore
29120	314951	IISc Div Phy Sci	Indian Institute of Science, Division of Physical Sciences
	29123	ISRO	Indian Space Research Organization
29123	270340	ISRO Sat Ctr	ISRO, Satellite Center
29123	29162	ISRO Sp App Ctr	ISRO, Space Applications Center
29123	54643	ISRO Vikram Sarabhai Sp Ctr	ISRO, Vikram Sarabhai Space Center
	29130	Nehru Ctr Adv Sci Res	Nehru Center for Advanced Scientific Research, Bangalore
	29146	TIFR	Tata Institute of Fundamental Research
29146	54640	TIFR Natl Ctr Radiophy	TIFR, National Center for Radiophysics, Pune
29146	A1536	TIFR Astrop Group	TIFR, Astrophysics Group
	29243	U Mysore	University of Mysore, India
	29263	U Kerala	University of Kerala, India
	29265	Natl Ctr Earth Sci Stud	National Center for Earth Science Studies, India
	29279	U Calicut	University of Calicut, Kerala
	29288	Cochin U Sci Tech	Cochin University of Science and Technology, India
	29318	Mahatma Gandhi U	Mahatma Gandhi University, India
	29354	SCTIMST	Sree Chitra Tirunal Institute for Medical Sciences and Technology
	29396	U Mumbai	University of Mumbai
	29403	Amravati U	Amravati University, India
	29408	SBS Coll Sci	Saraswati Bhuvan College Of Science, Aurangabad
	29422	Shivaji U	Shivaji University, Kolhapur
	29429	Swami Ramanand Teerth Marathwada U	Swami Ramanand Teerth Marathwada University, India
	29445	BARC	Bhabha Atomic Research Center
	29446	HBNI	Homi Bhabha National Institute of Atomic Research, India
	29491	IIT Mumbai	Indian Institute of Technology, Mumbai
	29638	U Pune	University of Pune, India
	29661	Manipur U	Manipur University, India
	29666	North-Eastrn Hill U	North-Eastern Hill University, India
	29689	Devi Ahilya U	Devi Ahilya University, India
	29702	U Jabalpur	University of Jabalpur, India
	29707	Awadhesh Pratash Singh U	Awadhesh Pratash Singh University, India
	29708	HS Gour U Sagar	Hari Singh Gour University of Sagar, India
	29731	Utkal U	Utkal University, India
	29732	Sambalpur U	Sambalpur University, India
	29734	Ravenshaw U	Ravenshaw University, India
	29740	Guru Nanek Dev U	Guru Nanek Dev University, India
	29750	Panjab U	Panjab University, India
	29766	Punjabi U	Punjabi University, India
	29780	U Rajasthan	University of Rajasthan, India
	29794	BIST	Birla Institute of Science and Technology, Hyderabad
	29798	Mohanlal Sukhadia U	Mohanlal Sukhadia University, India
	29817	Anna U	Anna University, India
	29821	U Madras	University of Madras, India
	29839	Inst Math Sci	Institute of Mathematical Sciences, India
	29843	Loyola Coll	Loyola College, India
	29895	Annamalai U	Annamalai University, India
	29897	Barathiar U	Barathiar University, India
	29929	Gandhigram Rural Inst	Gandhigram Rural Institute, India
	29937	IGCAR	Indira Gandhi Center for Atomic Research, India
	29943	Arul Anandar Coll	Arul Anandar College, India
	29944	Madurai Kamaraj U	Madurai Kamaraj University, India
	29950	Gov Arts Coll, Tamil Nadu	Government Arts College, Tamil Nadu
	30026	VIT	Vellore Institute of Technology, India
	30031	Agra Coll	Agra College, India
	30037	Aligarh Muslim U	Aligarh Muslim University, India
	30043	Allahabad U	Allahabad University, India
	30045	Govind Ballabh Pant Inst Him Env Dev	Govind Ballabh Pant Institute of Himalayan Environment and Development, India
	30057	Wadia Inst Him Geol	Wadia Institute of Himalayan Geology, India
	30064	DDU Gorakhpur U	DDU Gorakhpur University, India
	30065	Hindi Post Grad Coll	Hindi Post Graduate College, India
	30073	Bundelkhand U	Bundelkhand University, India
	30077	IIT Kanpur	Indian Institute of Technology, Kanpur
	30096	U Lucknow	University of Lucknow, India
	30102	Kumaun U	Kumaun University, India
	30110	GB Pant U Agr Tech	Govind Ballabh Pant University of Agriculture and Technology, Pantnagar
	30112	IIT Roorkee	Indian Institute of Technology, Roorkee
	30114	Banaras Hindu U	Banaras Hindu University, India
30114	A1541	Banaras Hindu U Dep Phy	Banaras Hindu University, India, Department of Physics
	30126	U Burdwan	University of Burdwan, India
	30130	Ind Inst Eng Sci Tech	Indian Institute of Engineering Science and Technology
	30131	Ramakrishna Mission Vivekananda U	Ramakrishna Mission Vivekananda University, India
	30132	U Kalyani	University of Kalyani, India
	30133	IIT Kharagpur	Indian Institute of Technology, Kharagpur
	30141	Bose Inst Calcutta	Bose Institute, Calcutta
	30160	Ind Stat Inst	Indian Statistical Institute
	30163	U Calcutta	University of Calcutta
30163	A1542	U Calcutta Inst Rad Phy	University of Calcutta, Institute of Radio Physics
30163	A1545	U Calcutta Ctr Sp Phy	University of Calcutta, Center for Space Physics
	30167	Jadavpur U Calcutta	Jadavpur University, Calcutta
	30169	Maulana Azad Coll Calcutta	Maulana Azad College, Calcutta
	30173	Presidency U Calcutta	Presidency University, Calcutta
	30176	Saha Inst Nuc Phy	Saha Institute of Nuclear Physics
30176	A1544	Saha Inst Nuc Phy Astrop Phy Cosmo	Saha Institute of Nuclear Physics, Astroparticle Physics and Cosmology
	30177	St Xaviers Coll Calcutta	Saint Xaviers College, Calcutta
	30178	Bose Natl Ctr Basic Sci Calcutta	Bose National Center for Basic Sciences, Calcutta
	30189	U N Bengal	University of North Bengal, India
	30190	Visva Bharati U	Visva Bharati University, India
	30361	Bern Mus Nat Hist	Bern Museum of Natural History
	30437	U App Sci NW Switzerland	University of Applied Sciences Northwestern Switzerland
	30446	U App Sci Sthrn Switzerland	University of Applied Sciences of Southern Switzerland
	30531	CERN	European Organization for Nuclear Research
30531	A1265	CERN Theo Div	CERN, Theory Division
	30600	Geneva Mus Nat Hist	Geneva Museum of Natural History
	30944	ZHAW	Zurich University of Applied Sciences
	31189	Austrian Inst Tech	Austrian Institute of Technology
	31190	AGES	Austrian Agency for Health and Food Safety
	31296	FH Joanneum GmbH	FH Joanneum GmbH
	31390	Austrian Acad Sci	Austrian Academy of Sciences
31390	231596	IQOQI	, Institute for Quantum Optics and Quantum Information, Innsbruck
31390	231598	Austrian Inst Sp Sci Res	Austrian Institute of Space Science Research
31390	69520	Inst Hi En Phys	Institute for High Energy Physics, Vienna
	31475	Medical U Graz	Medical University of Graz
	31481	Nat Hist Mus Vienna	Natural History Museum, Vienna
	32172	Morehouse Coll	Morehouse College
	32331	Wilbur Wright Coll	Wilbur Wright College
	32661	Wentworth Inst Tech	Wentworth Institute of Technology
	32833	Cen Arizona U	Central Arizona University
33052	A1184	Montana St U Bozeman Dep Phy	Montana State University, Bozeman, Department of Physics
	33176	U Cen Venezuela	University of Central Venezuela
	33177	U Centrooccidental Lisandro Alvarado	University Centrooccidental Lisandro Alvarado, Venezuela
	33178	U Carabobo	University of Carabobo, Venezuela
	33179	U Andes	University of the Andes, Venezuela
33179	A1702	U Andes Ctr Theo Astrop	University of the Andes, Center for Theoretical Astrophysics
33179	A1703	U Andes Ctr Fund Phy	University of the Andes, Center for Fundamental Physics
	33180	U Oriente	University of Oriente, Venezuela
	33181	U Zulia	University of Zulia, Venezuela
	33184	Metro U Venezuela	Metropolitan University, Venezuela
	33193	Natl Exp U Tachira	National Experimental University of Tachira, Venezuela
	33201	Simon Bolivar U	Simon Bolivar University, Venezuela
33201	A1704	Simon Bolivar U Dep Phy	Simon Bolivar University, Department of Physics
	33209	Natl U San Marcos Peru	National University of San Marcos, Peru
	33216	Cayetano Heredia U	Cayetano Heredia University, Peru
	33561	NTU	National Taiwan University
33561	111184	ASIAA	Institute of Astronomy and Astrophysics Academia Sinica, Taiwan
33561	71511	Acad Sinica Inst Phy Taiwan	Academia Sinica, Institute of Physics, Taiwan
33561	71553	Acad Sinica Inst Earth Sci Taiwan	Academia Sinica, Institute of Earth Sciences, Taiwan
33561	A1531	NTU Inst Astrop	National Taiwan University, Institute of Astrophysics
33561	A1532	NTU Dep Phy	National Taiwan University, Department of Physics
33561	A3039	NTU Dep Geos	National Taiwan University, Department of Geosciences
	33609	KLA Tencor	KLA Tencor Corporation
	33694	Stevens Inst Tech	Stevens Institute of Technology
	34288	Warren Wilson Coll	Warren Wilson College
	34309	BEV Vienna	Federal Office Metrology Surveying, Vienna
	34419	Hashemite U	Hashemite University, Jordan
	34706	U Sthrn China	University of South China
	34747	Shanghai U	Shanghai University, China
	34752	China Agr U	China Agricultural University, Beijing
	34763	Teikyo U Sci	Teikyo University of Science, Japan
	34815	Toyama Pref U	Toyama Prefectural University, Japan
	34823	Toyama U	Toyama University, Japan
	34835	Okayama Shoka U	Okayama Shoka University, Japan
	34843	Natl Auton U Honduras	National Autonomous University of Honduras
	34849	U San Carlos Guatemala	University of San Carlos, Guatemala
	34850	U Guatemala Valley	University of Guatemala Valley
	34853	U Raf Landivar	Rafael Landivar University, Guatemala
	34874	Natl Sun Yat-sen U	National Sun Yat-sen University
	34877	Natl Taipei Inst Tech	National Taipei Institute of Technology, Taiwan
	34878	NTUST	National Taiwan University of Science and Technology
	34879	NTNU	National Taiwan Normal University
	34880	NTOU	National Taiwan Ocean University
	34881	NTHU	National Tsing-Hua University, Taiwan
34881	111184	ASIAA Taiwan	Institute of Astronomy and Astrophysics Academia Sinica, Taiwan
34881	150418	NTHU Dep Phy	National Tsing-Hua University, Taiwan, Department of Physics
34881	71511	Acad Sinica Inst Phy Taiwan	Academia Sinica, Institute of Physics, Taiwan
34881	71553	Acad Sinica Inst Earth Sci Taiwan	Academia Sinica, Institute of Earth Sciences, Taiwan
34881	A1530	NTHU Inst Ast	National Tsing-Hua University, Taiwan, Institute for Astronomy
	34882	Natl Yang Ming U	National Yang-Ming University, Taiwan
	34883	Natl Yunlin U Sci Tech	National Yunlin University of Science and Technology, Taiwan
	34886	Tamkang U	Tamkang University, Taiwan
	34900	Chung Yuan Christian U	Chung Yuan Christian University, Taiwan
	34902	Feng Chia U	Feng Chia University, Taiwan
	34903	Fu Jen Catholic U	Fu Jen Catholic University, Taiwan
	34911	NCU Taiwan	National Central University, Taiwan
34911	A1526	NCU Inst Sp Sci	National Central University, Taiwan, Institute of Space Science
34911	A1527	NCU Inst Ast	National Central University, Taiwan, Institute of Astronomy
34911	A1528	NCU Dep Phy	National Central University, Taiwan, Department of Physics
34911	A1529	NCU Inst Geop	National Central University, Taiwan, Institute of Geophysics
	34912	NCKU	National Cheng Kung University, Taiwan
34912	162106	NCKU Dep Earth Sci	National Cheng Kung University, Department of Earth Sciences
34912	162113	NCKU Dep Earth Sci	National Cheng Kung University, Department of Earth Sciences
34912	A1533	Natl Cheng Kung U Inst Sp Astrop Plasma Sci	National Cheng Kung University, Taiwan, Institute for Space Astrophysical and Plasma Sciences
	34913	Natl Chengchi U	National Chengchi University, Taiwan
	34914	Natl Chiao Tung U	National Chiao Tung University, Taiwan
	34915	Natl Chung Cheng U	National Chung Cheng University, Taiwan
	34916	Natl Chung Hsing U	National Chung Hsing University, Taiwan
	34919	Ajou U	Ajou University, Korea
	34925	Changwon Natl U	Changwon National University, Korea
	34926	Jeju Natl U	Jeju National University
	34929	Cheongju U	Cheongju University, Korea
	34931	Chonnam Natl U	Chonnam National University, Korea
	34932	Chosun U	Chosun University, Korea
	34933	Chungbuk Natl U	Chungbuk National University, Korea
34933	A1553	Chungbuk Natl U Dep Ast Sp Sci	Chungbuk National University, Department of Astronomy and Space Science
34933	A1554	Chungbuk Natl U Dep Phy	Chungbuk National University, Department of Physics
	34937	Dankook U	Dankook University, Korea
	34942	Dongguk U	Dongguk University, Korea
	34943	Dongseo U	Dongseo University, Korea
	34947	Korea Aero U	Korea Aerospace University
	34950	Hanseo U	Hanseo University, Korea
	34955	Hoseo U	Hoseo University, Korea
	34958	Incheon Natl U	Incheon National University, Korea
	34959	Jeonju U	Jeonju University, Korea
	34961	Gangneung-Wonju Natl U	Gangneung-Wonju National University
	34962	Kangwon Natl U	Kangwon National University
	34965	Konkuk U	Konkuk University, Korea
	34967	Kookmin U	Kookmin University, Korea
	34968	KAIST	Korea Advanced Institute of Science and Technology
34968	145567	KSA KAIST	Korea Science Academy of KAIST
	34969	Korea Mar Ocean U	Korea Maritime and Ocean University
	34970	Korea Open U	Korea National Open University
	34971	Korea Natl U Educ	Korea National University of Education
	34973	Korea U Seoul	Korea University, Seoul
34973	65692	Korea U Sejeong	Korea University, Sejeong
	34976	Weizmann Inst Sci	Weizmann Institute of Science
34976	407557	Weizmann Inst Sci Dep Phy	Weizmann Institute of Science, Department of Physics
34976	A1511	Weizmann Inst Sci Astrop Group	Weizmann Institute of Science, Astrophysics Group
34976	A1512	Weizmann Inst Sci Dep Earth Plan Sci	Weizmann Institute of Science, Department of Earth and Planetary Sciences
	34978	Kwangwoon U	Kwangwoon University, Korea
	34985	Kyungnam Natl U	Kyungnam National University, Korea
	34986	Kyungpook Natl U	Kyungpook National University, Korea
	34987	Kyungsung U	Kyungung University, Korea
	34991	Mokpo Natl U	Mokpo National University, Korea
	34995	POSTECH	Pohang University of Science and Technology, Korea
	34996	Pusan Natl U	Pusan National University, Korea
	34998	Pukyong Natl U	Pukyong National University, Korea
	35006	Sejong U Seoul	Sejong University, Seoul
35006	A1552	Sejong U Dep Ast	Sejong University, Department of Astronomy
	35010	U Seoul	University of Seoul, Korea
	35014	Sogang U	Sogang University, Korea
	35016	Soongsil U	Soongsil University, Korea
	35017	Sung Kyun Kwan U	Sung Kyun Kwan University, Korea
	35022	Sun Moon U	Sun Moon University, Korea
	35025	Suwon U	Suwon University, Korea
	35028	Daejeon U	Daejeon University, Korea
	35032	Yeungnam U	Yeungnam University, Korea
	35488	Vikram U	Vikram University, India
	35742	Toshiba	Toshiba Co Japan
	36578	Qatar Found	Qatar Foundation
36578	323125	Qatar Env En Res Inst	Qatar Environment and Energy Research Institute
